"covariate","ace_score_01","ace_score_02","ace_score_03","ace_score_04"
"sex",0.627,0.829,0.93,0.079
"age_10yr_group",0.043,0.002,0.022,0
"race_eth",0.655,0.092,0.114,0
"income",0.001,0.005,0.001,0
"education",0.003,0.001,0,0
"employ",0.158,0.001,0.024,0
"ment_health",0.827,0.153,0.128,0
"health_plan",0.468,0.029,0.699,0.085
